sample_id,wl_900,wl_905,wl_910,wl_915,wl_920,wl_925,wl_930,wl_935,wl_940,wl_945,wl_950,wl_955,wl_960,wl_965,wl_970,wl_975,wl_980,wl_985,wl_990,wl_995,wl_1000,wl_1005,wl_1010,wl_1015,wl_1020,wl_1025,wl_1030,wl_1035,wl_1040,wl_1045,wl_1050,wl_1055,wl_1060,wl_1065,wl_1070,wl_1075,wl_1080,wl_1085,wl_1090,wl_1095,wl_1100,wl_1105,wl_1110,wl_1115,wl_1120,wl_1125,wl_1130,wl_1135,wl_1140,wl_1145,wl_1150,wl_1155,wl_1160,wl_1165,wl_1170,wl_1175,wl_1180,wl_1185,wl_1190,wl_1195,wl_1200,wl_1205,wl_1210,wl_1215,wl_1220,wl_1225,wl_1230,wl_1235,wl_1240,wl_1245,wl_1250,wl_1255,wl_1260,wl_1265,wl_1270,wl_1275,wl_1280,wl_1285,wl_1290,wl_1295,wl_1300,wl_1305,wl_1310,wl_1315,wl_1320,wl_1325,wl_1330,wl_1335,wl_1340,wl_1345,wl_1350,wl_1355,wl_1360,wl_1365,wl_1370,wl_1375,wl_1380,wl_1385,wl_1390,wl_1395,wl_1400,wl_1405,wl_1410,wl_1415,wl_1420,wl_1425,wl_1430,wl_1435,wl_1440,wl_1445,wl_1450,wl_1455,wl_1460,wl_1465,wl_1470,wl_1475,wl_1480,wl_1485,wl_1490,wl_1495,wl_1500,wl_1505,wl_1510,wl_1515,wl_1520,wl_1525,wl_1530,wl_1535,wl_1540,wl_1545,wl_1550,wl_1555,wl_1560,wl_1565,wl_1570,wl_1575,wl_1580,wl_1585,wl_1590,wl_1595,wl_1600,wl_1605,wl_1610,wl_1615,wl_1620,wl_1625,wl_1630,wl_1635,wl_1640,wl_1645,wl_1650,wl_1655,wl_1660,wl_1665,wl_1670,wl_1675,wl_1680,wl_1685,wl_1690,wl_1695,wl_1700,oil_content
sample_000,0.39809567,0.40079948,0.4012151,0.40456986,0.40917808,0.41161045,0.4131066,0.416347,0.41926667,0.4211225,0.42459172,0.4262143,0.42769748,0.42975935,0.4307814,0.4322125,0.4332262,0.4336811,0.4368002,0.43569884,0.43339956,0.4330765,0.43221813,0.43153238,0.43101948,0.43097055,0.42827708,0.42565617,0.42293873,0.41995347,0.41606963,0.4128052,0.41140994,0.40585753,0.40473706,0.3999259,0.39643928,0.39205045,0.38865757,0.3837309,0.37988585,0.3730173,0.3667828,0.36129302,0.3541964,0.34342557,0.33324805,0.32004184,0.31024745,0.2974814,0.28148547,0.2654874,0.24910685,0.23229462,0.21463585,0.19813253,0.18409747,0.17025663,0.15791374,0.14689156,0.1398159,0.1364059,0.13544405,0.1363301,0.13982147,0.14779589,0.15500875,0.16494,0.17941692,0.19216265,0.2062001,0.21985464,0.23499897,0.2461396,0.2594588,0.27121827,0.28193605,0.28994778,0.2987912,0.304307,0.30979514,0.31330544,0.31605262,0.31981808,0.32156864,0.32064867,0.32253927,0.32408318,0.3224168,0.32461753,0.32364905,0.32419574,0.32527143,0.32332495,0.3242218,0.32368454,0.32154667,0.32163507,0.32055908,0.32058096,0.3193815,0.3212572,0.3189049,0.32125428,0.31762257,0.31754568,0.3194061,0.31709802,0.3160963,0.31578442,0.31440875,0.3150693,0.3152054,0.3147582,0.31362665,0.3139774,0.3136691,0.3137755,0.3128887,0.31227088,0.3122991,0.31182048,0.31071585,0.30969322,0.30952924,0.30924878,0.30837744,0.30762067,0.30815193,0.30591804,0.30735704,0.30665442,0.30655566,0.30396444,0.30509982,0.30546987,0.30232283,0.30346504,0.30243388,0.30364528,0.30273542,0.30306953,0.30286583,0.30147228,0.3004209,0.3010727,0.30110326,0.29941884,0.29927185,0.2979626,0.29670298,0.297091,0.29705107,0.29682714,0.29694134,0.294627,0.29425266,0.29531375,0.29332232,0.29458287,0.2943077,39.32615
sample_001,0.38284785,0.38254195,0.38040388,0.38097095,0.3802961,0.38171554,0.37995338,0.3800593,0.3803202,0.37906685,0.3789679,0.380699,0.38044357,0.37818307,0.37905332,0.37897527,0.37898892,0.37814036,0.37837487,0.37819853,0.37695408,0.3789493,0.37781432,0.37871048,0.37679487,0.3773854,0.37698597,0.37828538,0.37563992,0.37691656,0.3759365,0.37568703,0.3774477,0.3773271,0.37917638,0.37780002,0.37831935,0.37902924,0.3794096,0.3802565,0.38092837,0.3821654,0.3832503,0.38535836,0.3860069,0.3874484,0.3919668,0.39176017,0.39431834,0.396816,0.39937365,0.40181983,0.40555087,0.40810803,0.4108799,0.41562006,0.41915646,0.4219805,0.42639735,0.42801973,0.43156913,0.43481407,0.43918437,0.44204152,0.44482243,0.44933367,0.45274433,0.45799094,0.46331933,0.46765003,0.47283074,0.48014274,0.48579076,0.4953553,0.50383747,0.5118329,0.5202551,0.53135914,0.5408918,0.5521982,0.56400573,0.5739835,0.58419853,0.59551424,0.60354275,0.61226743,0.61993957,0.62448716,0.6312914,0.6334428,0.63438785,0.63437515,0.6346753,0.6303677,0.62526304,0.6196893,0.6107535,0.6025209,0.590455,0.5819967,0.5686398,0.55928445,0.54789317,0.53468406,0.5232414,0.5128094,0.4998153,0.48992336,0.4828488,0.4740007,0.46652406,0.46061015,0.45751575,0.45433608,0.4535847,0.45617047,0.4594015,0.46492255,0.47038773,0.48183334,0.49310172,0.50489604,0.51802266,0.5320942,0.5446895,0.5602673,0.5720803,0.5854031,0.59646636,0.6034953,0.6070974,0.6106738,0.60879624,0.60553646,0.5982698,0.5877564,0.574854,0.56064063,0.54601336,0.5294537,0.5130556,0.49578896,0.47837526,0.46053916,0.44632918,0.43289083,0.41901305,0.40871215,0.39924493,0.39130288,0.38318852,0.37735018,0.37349108,0.3678714,0.36581084,0.36303598,0.36021143,0.3598867,0.35787234,0.35701737,0.3571204,33.67017
sample_002,0.27146012,0.26961413,0.26788676,0.2657668,0.2640236,0.2638629,0.25964978,0.25917423,0.26038212,0.2569457,0.2563938,0.25830957,0.25711337,0.25761616,0.25885895,0.26004878,0.26284403,0.26190317,0.26684526,0.26905176,0.27330115,0.2777875,0.2819373,0.28608307,0.29371673,0.29870605,0.30731884,0.3143358,0.32109457,0.32763723,0.33900556,0.34650654,0.35675132,0.3673025,0.37581083,0.38656238,0.3950907,0.40633118,0.41725916,0.42777538,0.43821046,0.44622248,0.45649257,0.46679395,0.47693676,0.48390514,0.4927801,0.50028694,0.5070105,0.5151078,0.5192008,0.5252518,0.5307363,0.5333239,0.537617,0.54128486,0.5389394,0.5415758,0.5419601,0.5406815,0.5400068,0.5378992,0.5348747,0.5335791,0.5278594,0.52464336,0.51947296,0.51519597,0.5108291,0.5045897,0.497959,0.4935342,0.4873702,0.48111826,0.47547793,0.46913776,0.46556586,0.45712775,0.45390788,0.45055985,0.45034137,0.44647157,0.4453508,0.44285992,0.44334766,0.44534463,0.4455988,0.44855097,0.45196205,0.454559,0.4602081,0.46413037,0.46884307,0.4733551,0.4767244,0.48062786,0.48202723,0.48405156,0.48636064,0.48354483,0.48368108,0.47758526,0.4732692,0.46507496,0.45720178,0.44550157,0.43655917,0.4244277,0.41242352,0.3998662,0.3844979,0.37336704,0.35883066,0.3472296,0.33560508,0.3225087,0.31318754,0.30052763,0.29397228,0.28564927,0.27862912,0.271441,0.26696122,0.26371896,0.258859,0.25387573,0.25083145,0.25040907,0.24972548,0.24649917,0.24656112,0.24711089,0.24734536,0.24842994,0.2500051,0.25009748,0.25472966,0.25615424,0.25698557,0.26122564,0.26159665,0.26601475,0.26915365,0.27301875,0.27632403,0.2795689,0.28498968,0.28710312,0.29207087,0.2941383,0.29756007,0.30233565,0.30725804,0.3104525,0.3142806,0.31763315,0.32132006,0.32466647,0.32809693,0.3323937,0.3341769,34.16744
sample_003,0.3313951,0.33077812,0.33352092,0.33563957,0.3368819,0.3383364,0.3425857,0.34511492,0.34806442,0.35160682,0.35288018,0.35807884,0.3613657,0.3668832,0.37114453,0.37623462,0.38188478,0.38881797,0.39419946,0.39915285,0.40577224,0.4125364,0.42170233,0.42836976,0.43691593,0.44500545,0.45466658,0.46132874,0.47170728,0.47888324,0.48825762,0.4944157,0.5060297,0.51181465,0.5219885,0.5289658,0.53677213,0.54091555,0.5483773,0.5527871,0.5551438,0.55802995,0.55990916,0.5608656,0.56089807,0.56067497,0.55903953,0.5542017,0.54987264,0.54309076,0.5378773,0.5288148,0.5198334,0.5114929,0.4993857,0.48754364,0.47833106,0.46737355,0.45570967,0.4469942,0.43422732,0.42505598,0.41591278,0.4062887,0.39876813,0.39285675,0.38672945,0.37893426,0.37653056,0.37516695,0.37119302,0.3710652,0.36804378,0.36781898,0.36672577,0.3676413,0.36818862,0.37007755,0.3717864,0.37402654,0.37492168,0.37627724,0.3781562,0.38301587,0.38351473,0.38623178,0.39008853,0.39197347,0.39639324,0.3975378,0.40053228,0.40360066,0.4054324,0.40543357,0.4093725,0.4099966,0.40801463,0.40990943,0.4103961,0.40912744,0.40749508,0.4063326,0.40470555,0.40358797,0.40307337,0.4016249,0.39946568,0.39909706,0.3967653,0.3950526,0.39626214,0.39606062,0.39275917,0.39202696,0.39408916,0.39435902,0.3937633,0.3910792,0.3901037,0.38977802,0.38807088,0.38665152,0.3851824,0.38325024,0.38040647,0.3799428,0.37671822,0.37333396,0.37158886,0.3682679,0.3653379,0.36369434,0.36147907,0.35920694,0.35670063,0.35502487,0.3552842,0.3527027,0.35064122,0.35001472,0.34728524,0.34887674,0.34903693,0.3476061,0.3480216,0.34749824,0.34662086,0.3455206,0.34534842,0.3469415,0.3450159,0.34599444,0.34598872,0.3472893,0.34624603,0.34772235,0.34829628,0.34736037,0.34578463,0.34700316,0.34708324,36.495163
sample_004,0.2757963,0.270545,0.2655975,0.2610969,0.25362462,0.2473574,0.24360584,0.23525764,0.23024477,0.22559263,0.22063485,0.2171921,0.21175148,0.20927437,0.20552394,0.20447484,0.20219721,0.2017867,0.20224558,0.20534654,0.20600346,0.20898911,0.2148766,0.21742107,0.2238426,0.23117888,0.23703614,0.24706249,0.25467798,0.2634269,0.2713888,0.28104782,0.2912864,0.29879674,0.30776376,0.31606105,0.3275963,0.33485308,0.34368712,0.35079312,0.36015588,0.36795565,0.375537,0.38261738,0.38882372,0.39665014,0.40160465,0.40783527,0.41375667,0.41912666,0.42535838,0.4302511,0.43553603,0.43911198,0.44456688,0.44920984,0.4503757,0.4551064,0.45754525,0.46089315,0.46259597,0.4631036,0.4658904,0.4646748,0.46598,0.46636587,0.46560723,0.46354985,0.45904988,0.45624942,0.4508894,0.44504532,0.4396714,0.4311351,0.42311665,0.41506618,0.40410247,0.39188084,0.381621,0.3725756,0.35891163,0.34875026,0.33743596,0.32909083,0.32027206,0.31286478,0.3073299,0.30470884,0.30432558,0.3043384,0.30488464,0.31133047,0.31659064,0.3287901,0.33891603,0.3517409,0.36564967,0.38178515,0.3977273,0.41506752,0.4298453,0.4483882,0.4645981,0.47835055,0.49391767,0.5070798,0.51955426,0.53028435,0.5377181,0.545762,0.55419874,0.5562157,0.5589272,0.5593741,0.56047046,0.5620157,0.5574285,0.5546416,0.5499946,0.54418963,0.54106253,0.53383344,0.52815723,0.52289057,0.51547587,0.5077174,0.50220317,0.49603823,0.48735738,0.48147222,0.47500834,0.46872887,0.4613552,0.45638233,0.44942105,0.44620052,0.44165385,0.43571433,0.43186396,0.42829716,0.42538595,0.4222064,0.4185182,0.4176077,0.41660777,0.4134391,0.41027746,0.41186193,0.40778816,0.40975395,0.40781754,0.40708083,0.40471306,0.40675592,0.40515327,0.40589175,0.4045759,0.406286,0.4055987,0.40689936,0.40523386,34.632698
sample_005,0.38429344,0.385082,0.38743725,0.38978294,0.38909313,0.38833448,0.38638613,0.38789487,0.38561296,0.3838411,0.37977344,0.3757299,0.374047,0.36793682,0.36271566,0.3574267,0.35246345,0.34667206,0.33932775,0.33096844,0.32459196,0.31761354,0.30938977,0.30001605,0.29385072,0.28437993,0.27682212,0.27229464,0.2632507,0.25694683,0.25032118,0.24415416,0.23811361,0.23480773,0.23049256,0.22716893,0.2229602,0.22149149,0.22024685,0.21882783,0.2176125,0.21725048,0.21851616,0.22042935,0.2220777,0.22673568,0.22993453,0.23018803,0.23577274,0.23910742,0.24389008,0.24697283,0.25403503,0.25917757,0.26349366,0.2676464,0.27142993,0.27641618,0.2811835,0.2864247,0.2903533,0.29377967,0.29939666,0.30205554,0.30663306,0.3087308,0.31179795,0.31536937,0.31984305,0.3224759,0.32655865,0.32633004,0.33019152,0.3324789,0.33390713,0.33604193,0.33859223,0.3383664,0.34115848,0.34275913,0.34298277,0.3449654,0.3465521,0.34682265,0.34847826,0.34900138,0.3500354,0.35211027,0.35264936,0.35321763,0.3537703,0.35360283,0.35460973,0.3553838,0.3566706,0.35672984,0.3568389,0.35860837,0.3583977,0.35938907,0.36151114,0.3605451,0.3622977,0.36169142,0.36424038,0.36455342,0.36529583,0.36626014,0.3657353,0.36863473,0.37060577,0.37275314,0.3743929,0.37766117,0.3789002,0.3825132,0.38638043,0.39163467,0.39601207,0.40146574,0.40845156,0.41506144,0.42325565,0.43178967,0.44079494,0.45139357,0.46306726,0.47433132,0.48527053,0.49946657,0.510712,0.5236008,0.53568316,0.54882723,0.55993986,0.56943715,0.5801285,0.58581495,0.5942591,0.5998477,0.604462,0.6044702,0.6054508,0.60277027,0.602329,0.59613883,0.5896879,0.58179843,0.57337517,0.5644483,0.5519969,0.54079896,0.53033,0.520208,0.50752497,0.4971023,0.4875564,0.47871974,0.4672212,0.45886567,0.44914705,40.80494
sample_006,0.3129212,0.30528158,0.29557684,0.28533924,0.27993107,0.27036956,0.26311395,0.25374538,0.24740441,0.23926689,0.2312377,0.22357151,0.21628015,0.21028613,0.20400487,0.19875419,0.19436045,0.19142017,0.18720901,0.1818901,0.18146525,0.17902067,0.17849948,0.17965785,0.17884095,0.17988026,0.17993963,0.18051022,0.18306738,0.18655433,0.18619595,0.19095303,0.195025,0.19658093,0.20101269,0.20634665,0.20837367,0.2123998,0.21821357,0.2224943,0.22708641,0.23126942,0.23706065,0.24111244,0.24516083,0.24950588,0.25468603,0.25775093,0.26388666,0.2678228,0.27236035,0.27534255,0.28068048,0.28676793,0.2890589,0.29249236,0.29844984,0.3038474,0.30853292,0.31310877,0.31449148,0.32280937,0.32571983,0.328662,0.3346488,0.3392017,0.34305146,0.34877014,0.35226876,0.35698688,0.36194384,0.36682177,0.3694933,0.3758762,0.38196582,0.3859681,0.38885212,0.39668348,0.40167212,0.409036,0.41332242,0.41897598,0.42466605,0.43138772,0.43781722,0.44375888,0.45171353,0.45959446,0.46556038,0.4736078,0.48047104,0.48687744,0.49482325,0.50151825,0.51008064,0.517071,0.52291244,0.5269278,0.53358996,0.54050606,0.54522794,0.5510217,0.555226,0.5589785,0.56142235,0.5641359,0.56525856,0.5675677,0.56871915,0.56689435,0.5653371,0.56485105,0.5604907,0.55765575,0.55424684,0.5496639,0.5449579,0.53884465,0.5316523,0.5263077,0.5195539,0.51034766,0.5037431,0.49571317,0.48689264,0.47778112,0.4700124,0.46108538,0.450868,0.4406235,0.43163127,0.4222047,0.4136626,0.40140253,0.391941,0.37840173,0.36813366,0.3559574,0.34579182,0.33301577,0.32296583,0.311097,0.30037484,0.2921674,0.28315854,0.27597702,0.27124435,0.26589555,0.26289427,0.26064053,0.26023608,0.2602399,0.2634218,0.2667734,0.27052885,0.27481785,0.2788953,0.2840246,0.28946042,0.29465407,0.2987076,34.773746
sample_007,0.3703805,0.3674171,0.3687817,0.36825076,0.36898002,0.36708707,0.367982,0.36765453,0.37010446,0.36801824,0.36887273,0.36959118,0.36893678,0.37010664,0.36977056,0.3710171,0.3727199,0.37321702,0.3756877,0.3752337,0.37771174,0.38067862,0.3825926,0.38646102,0.39112294,0.39614072,0.4003284,0.40465042,0.40997052,0.4146173,0.4224684,0.43001014,0.437407,0.44452038,0.45094666,0.4623353,0.46914235,0.47823468,0.48701417,0.495921,0.5073573,0.5159954,0.5237085,0.53190947,0.53977996,0.5469031,0.55597633,0.55896443,0.5657709,0.568027,0.5731612,0.57426596,0.57357645,0.5732243,0.5721361,0.5690662,0.56456715,0.5604604,0.55305296,0.5462578,0.53685594,0.528228,0.51998156,0.509027,0.49718034,0.4875778,0.4778977,0.4655436,0.4538355,0.44495428,0.43515712,0.4259458,0.41830933,0.41072014,0.40349233,0.39910373,0.3934553,0.38834438,0.38737908,0.3863418,0.3847093,0.38366595,0.38390645,0.3847319,0.38508043,0.38442284,0.38570184,0.38517806,0.38256347,0.3828331,0.37797487,0.37623122,0.37284136,0.3672822,0.36049414,0.35440612,0.34660915,0.3368476,0.3283689,0.31809688,0.3100714,0.30100578,0.29186687,0.28512615,0.2763665,0.27103513,0.26322597,0.2585302,0.252618,0.24858013,0.24407181,0.24077022,0.23835285,0.23405743,0.23086008,0.22705615,0.22202906,0.21716775,0.2107234,0.20503734,0.19820276,0.18583603,0.17434911,0.16606899,0.15277338,0.14262038,0.13077568,0.12110635,0.113072485,0.10617131,0.101171605,0.10006479,0.10321401,0.106141515,0.11211914,0.12141652,0.13398205,0.14747266,0.16221993,0.17781942,0.19398159,0.20875116,0.22472928,0.23735747,0.25053874,0.26389894,0.27151093,0.28220817,0.28798324,0.29448128,0.29859138,0.30163932,0.30339938,0.30682594,0.30987346,0.31064457,0.31053197,0.31103638,0.31343612,0.3121563,0.31247193,39.299263
sample_008,0.3023231,0.3037591,0.30254114,0.2998964,0.30152497,0.299286,0.29608527,0.29513347,0.29265174,0.29098043,0.2887108,0.2859114,0.28450248,0.28074795,0.27479804,0.27282265,0.26935646,0.26602805,0.26044253,0.25698325,0.25356287,0.24836671,0.24517116,0.23856832,0.23507911,0.22997515,0.22472279,0.22159334,0.21642692,0.21318866,0.20880342,0.20609392,0.20158927,0.2002947,0.19651896,0.19365458,0.19163795,0.18991442,0.18922468,0.18949218,0.18856157,0.18980104,0.19108866,0.19206952,0.1935498,0.19856223,0.19967034,0.20413777,0.20828967,0.21203424,0.2174075,0.22357032,0.22999938,0.23539932,0.2411207,0.24806632,0.25631258,0.2623895,0.27067056,0.27922785,0.28923383,0.29647037,0.30620268,0.3134732,0.32360193,0.3317685,0.34214908,0.35057116,0.3600015,0.36991325,0.38059595,0.388363,0.39720052,0.4066096,0.41536954,0.4224141,0.43351054,0.441089,0.44792244,0.4551547,0.4634659,0.46881023,0.47531262,0.4817873,0.48684952,0.49063405,0.49440503,0.49685937,0.49950328,0.50115174,0.50073856,0.5018517,0.5010462,0.5005269,0.49890885,0.4968022,0.4944466,0.49006858,0.48773402,0.4835375,0.4795996,0.4747275,0.47079393,0.46630108,0.46126395,0.45365617,0.45141917,0.44561666,0.44105157,0.4364877,0.43122497,0.42718065,0.4239724,0.41902134,0.41687447,0.4142492,0.41142887,0.40989095,0.40677205,0.40339532,0.40410903,0.4023527,0.3993616,0.40145132,0.39948556,0.3987127,0.39912495,0.3967531,0.39861938,0.3995078,0.40073836,0.39986086,0.39767385,0.39827418,0.39841697,0.3994538,0.39944142,0.39835453,0.3973125,0.39795986,0.39744213,0.39473608,0.3952582,0.39357036,0.3929562,0.3927306,0.39096898,0.3895566,0.38649625,0.3863324,0.38578078,0.38522807,0.3839496,0.38057062,0.37963545,0.38039032,0.3781075,0.3766178,0.37772322,0.37620395,0.37599695,37.142063
sample_009,0.27425244,0.27050903,0.2656389,0.26030245,0.2562967,0.25335243,0.2523959,0.2482748,0.24680263,0.24712385,0.24716884,0.24822196,0.251003,0.25453666,0.25873706,0.26326677,0.2708369,0.27824774,0.2873142,0.29687664,0.31017482,0.32148865,0.33382407,0.34772173,0.36172202,0.37604913,0.39122605,0.40746552,0.4228071,0.43938863,0.45772058,0.47050065,0.48707005,0.49980706,0.51416093,0.5278494,0.54096603,0.5525645,0.5626197,0.5727814,0.5838113,0.5903302,0.59838676,0.60475755,0.611103,0.61681557,0.62169236,0.62529844,0.6298352,0.6345706,0.640161,0.6433033,0.64779675,0.6531005,0.65976095,0.6633391,0.6711784,0.679084,0.68448335,0.69212896,0.7012181,0.70959675,0.71705735,0.72822106,0.73929656,0.7472401,0.75480956,0.7643343,0.7741268,0.7811995,0.79125464,0.79797554,0.8020142,0.80781835,0.8094129,0.81105727,0.8109657,0.80943274,0.8060723,0.8022866,0.7946639,0.7880475,0.77812546,0.7660865,0.75401473,0.74117064,0.7246377,0.71064013,0.69480413,0.67621285,0.66065675,0.64401555,0.62394184,0.60818064,0.59211916,0.57622796,0.5581365,0.5432564,0.5271911,0.5126355,0.50055176,0.4883452,0.47613886,0.46438807,0.4544856,0.442585,0.4351547,0.42705265,0.41805908,0.4108415,0.4043235,0.4002002,0.39462614,0.38894704,0.3866097,0.38206276,0.3787642,0.37388638,0.37100223,0.3685394,0.36672,0.36578438,0.3621095,0.3612878,0.35896486,0.35945183,0.35663888,0.35433158,0.35553607,0.35501668,0.3528047,0.3503973,0.35101146,0.35027772,0.34924948,0.34898496,0.348981,0.3499677,0.34972024,0.34708384,0.346604,0.34849206,0.3475038,0.34706068,0.34750003,0.34537217,0.3460169,0.34575003,0.3444642,0.3459426,0.3452771,0.34666857,0.34316674,0.34331286,0.34506992,0.34355047,0.34483352,0.34454757,0.34234586,0.34501284,0.34317514,31.985842
